material_a_id,material_b_id,label
A001,B001,EQUIVALENT
A002,B002,EQUIVALENT
A003,B003,EQUIVALENT
A004,B004,EQUIVALENT
A005,B005,EQUIVALENT
A006,B006,EQUIVALENT
A007,B007,EQUIVALENT
A008,B008,EQUIVALENT
A009,B009,EQUIVALENT
A010,B010,EQUIVALENT
A011,B011,EQUIVALENT
A012,B012,EQUIVALENT
A013,B013,EQUIVALENT
A014,B014,EQUIVALENT
A015,B015,EQUIVALENT
A016,B016,EQUIVALENT
A017,B017,EQUIVALENT
A018,B018,EQUIVALENT
A019,B019,EQUIVALENT
A020,B020,EQUIVALENT
A021,B021,EQUIVALENT
A022,B022,EQUIVALENT
A023,B023,EQUIVALENT
A024,B024,EQUIVALENT
A025,B025,EQUIVALENT
A026,B026,EQUIVALENT
A027,B027,EQUIVALENT
A028,B028,EQUIVALENT
A029,B029,EQUIVALENT
A030,B030,EQUIVALENT
A031,B031,DIFFERENT
A032,B032,DIFFERENT
A033,B033,DIFFERENT
A034,B034,DIFFERENT
A035,B035,DIFFERENT
A036,B036,DIFFERENT
A037,B037,DIFFERENT
A038,B038,DIFFERENT
A039,B039,DIFFERENT
A040,B040,DIFFERENT
A041,B041,DIFFERENT
A042,B042,DIFFERENT
A043,B043,DIFFERENT
A044,B044,DIFFERENT
A045,B045,DIFFERENT
A046,B046,DIFFERENT
A047,B047,DIFFERENT
A048,B048,DIFFERENT
A049,B049,DIFFERENT
A050,B050,DIFFERENT
A041,B008,DIFFERENT
A002,B048,DIFFERENT
A018,B016,DIFFERENT
A015,B009,DIFFERENT
A048,B007,DIFFERENT
A044,B048,DIFFERENT
A035,B006,DIFFERENT
A038,B028,DIFFERENT
A003,B002,DIFFERENT
A006,B014,DIFFERENT
A015,B033,DIFFERENT
A039,B002,DIFFERENT
A036,B013,DIFFERENT
A046,B042,DIFFERENT
A045,B035,DIFFERENT
A027,B015,DIFFERENT
A029,B038,DIFFERENT
A018,B001,DIFFERENT
A049,B011,DIFFERENT
A045,B028,DIFFERENT
A022,B018,DIFFERENT
A010,B014,DIFFERENT
A049,B022,DIFFERENT
A007,B006,DIFFERENT
A025,B007,DIFFERENT
A039,B017,DIFFERENT
A003,B047,DIFFERENT
A030,B035,DIFFERENT
A008,B025,DIFFERENT
A006,B036,DIFFERENT
A019,B041,DIFFERENT
A040,B024,DIFFERENT
A037,B013,DIFFERENT
A046,B005,DIFFERENT
A003,B043,DIFFERENT
A015,B050,DIFFERENT
A019,B006,DIFFERENT
A015,B007,DIFFERENT
A025,B018,DIFFERENT
A030,B041,DIFFERENT
A024,B011,DIFFERENT
A024,B023,DIFFERENT
A014,B043,DIFFERENT
A018,B045,DIFFERENT
A044,B042,DIFFERENT
A005,B039,DIFFERENT
A041,B011,DIFFERENT
A035,B047,DIFFERENT
A016,B011,DIFFERENT
A030,B025,DIFFERENT
A018,B041,DIFFERENT
A045,B036,DIFFERENT
A015,B044,DIFFERENT
A021,B050,DIFFERENT
A050,B004,DIFFERENT
A015,B003,DIFFERENT
A021,B026,DIFFERENT
A018,B005,DIFFERENT
A014,B037,DIFFERENT
A046,B021,DIFFERENT
A014,B042,DIFFERENT
A032,B026,DIFFERENT
A042,B030,DIFFERENT
A010,B017,DIFFERENT
A009,B016,DIFFERENT
A048,B036,DIFFERENT
A035,B017,DIFFERENT
A048,B038,DIFFERENT
A028,B038,DIFFERENT
A026,B024,DIFFERENT
A033,B032,DIFFERENT
A006,B049,DIFFERENT
A004,B008,DIFFERENT
A010,B041,DIFFERENT
A011,B044,DIFFERENT
A028,B039,DIFFERENT
A005,B025,DIFFERENT
A025,B039,DIFFERENT
A030,B034,DIFFERENT
A017,B036,DIFFERENT
A001,B044,DIFFERENT
A047,B008,DIFFERENT
A044,B035,DIFFERENT
A049,B018,DIFFERENT
A050,B042,DIFFERENT
A022,B008,DIFFERENT
A019,B028,DIFFERENT
A011,B030,DIFFERENT
A001,B047,DIFFERENT
A047,B017,DIFFERENT
A033,B049,DIFFERENT
A012,B033,DIFFERENT
A007,B041,DIFFERENT
A020,B041,DIFFERENT
A033,B039,DIFFERENT
A013,B010,DIFFERENT
A024,B049,DIFFERENT
A011,B035,DIFFERENT
A050,B034,DIFFERENT
A001,B039,DIFFERENT
