material_id,organization_id,description,normalized_description
A001,ORG_A,"S.S. SEAMLESS PIPE 2"" SCH40 ASTM A312 TP304",STAINLESS STEEL. SEAMLESS PIPE 2 IN SCH40 ASTM A312 TP304
A002,ORG_A,"S.S. SEAMLESS PIPE 3"" SCH80 ASTM A312 TP316",STAINLESS STEEL. SEAMLESS PIPE 3 IN SCH80 ASTM A312 TP316
A003,ORG_A,"C.S. WELDED PIPE 4"" SCHEDULE 40 ASTM A106 GRADE B",CARBON STEEL. WELDED PIPE 4 IN SCHEDULE 40 ASTM A106 GRADE B
A004,ORG_A,"CARBON STEEL SEAMLESS PIPE 1"" SCHEDULE 80 ASTM A53 GRADE B.",CARBON STEEL SEAMLESS PIPE 1 IN SCHEDULE 80 ASTM A53 GRADE B
A005,ORG_A,"SS SEAMLESS PIPE 6"" SCH40 ASTM A312 TP316L",STAINLESS STEEL SEAMLESS PIPE 6 IN SCH40 ASTM A312 TP316L
A006,ORG_A,"CS SEAMLESS PIPE 8"" SCHEDULE 80 ASTM A106 GRADE B",CARBON STEEL SEAMLESS PIPE 8 IN SCHEDULE 80 ASTM A106 GRADE B
A007,ORG_A,"ALLOY STEEL SEAMLESS PIPE 2"" SCH160 ASTM A335 P11",ALLOY STEEL SEAMLESS PIPE 2 IN SCH160 ASTM A335 P11
A008,ORG_A,"SS WELDED PIPE 1/2"" SCHEDULE 10S ASTM A312 TP304L",STAINLESS STEEL WELDED PIPE 1/2 IN SCHEDULE 10S ASTM A312 TP304L
A009,ORG_A,"BRASS BALL VALVE 1/2"" ANSI B16.5 C37700",BRASS BALL VALVE 1/2 IN ANSI B16.5 C37700
A010,ORG_A,"STAINLESS STEEL GATE VALVE 3"" ANSI B16.34 CF8M",STAINLESS STEEL GATE VALVE 3 IN ANSI B16.34 CF8M
A011,ORG_A,"C.S. GLOBE VALVE 2"" API 600 WCB",CARBON STEEL. GLOBE VALVE 2 IN API 600 WCB
A012,ORG_A,"CAST IRON BUTTERFLY VALVE 6"" API 609 GG25",CAST IRON BUTTERFLY VALVE 6 IN API 609 GG25
A013,ORG_A,"STAINLESS STEEL CHECK VALVE 4"" API 594 CF8",STAINLESS STEEL CHECK VALVE 4 IN API 594 CF8
A014,ORG_A,"BRONZE GATE VALVE 1"" MSS SP-80 B62",BRONZE GATE VALVE 1 IN MSS SP-80 B62
A015,ORG_A,"CS BALL VALVE 2"" API 6D LF2",CARBON STEEL BALL VALVE 2 IN API 6D LF2
A016,ORG_A,CHROME STEEL BALL BEARING 50MM ISO 15 6210-2RS,CHROME STEEL BALL BEARING 50MM ISO 15 6210-2RS
A017,ORG_A,CHROME STEEL ROLLER BEARING 80MM DIN 5412 NU2211,CHROME STEEL ROLLER BEARING 80MM DIN 5412 NU2211
A018,ORG_A,CHROME STEEL TAPERED ROLLER BEARING 45MM ISO 355 30209.,CHROME STEEL TAPERED ROLLER BEARING 45MM ISO 355 30209
A019,ORG_A,STAINLESS STEEL BALL BEARING 25MM ISO 15 S6205-2RS,STAINLESS STEEL BALL BEARING 25MM ISO 15 S6205-2RS
A020,ORG_A,CHROME STEEL NEEDLE ROLLER BEARING 20MM ISO 3245 HK2016,CHROME STEEL NEEDLE ROLLER BEARING 20MM ISO 3245 HK2016
A021,ORG_A,STAINLESS STEEL HEX BOLT M12 DIN 933 A2-70,STAINLESS STEEL HEX BOLT M12 DIN 933 A2-70
A022,ORG_A,C.S. HEX NUT M16 DIN 934 CLASS 8,CARBON STEEL. HEX NUT M16 DIN 934 CLASS 8
A023,ORG_A,STAINLESS STEEL WASHER M12 DIN 125 A4,STAINLESS STEEL WASHER M12 DIN 125 A4
A024,ORG_A,CARBON STEEL SOCKET HEAD CAP SCREW M8 DIN 912 GRADE 12.9,CARBON STEEL SOCKET HEAD CAP SCREW M8 DIN 912 GRADE 12.9
A025,ORG_A,BRASS HEX BOLT M10 DIN 931 C3604,BRASS HEX BOLT M10 DIN 931 C3604
A026,ORG_A,COPPER XLPE CABLE 4 CORE 16 SQMM IEC 60502 1.1KV,COPPER XLPE CABLE 4 CORE 16 SQMM IEC 60502 1.1KV
A027,ORG_A,ALUMINUM PVC CABLE 3 CORE 70 SQMM IS 1554 1.1KV,ALUMINUM PVC CABLE 3 CORE 70 SQMM IS 1554 1.1KV
A028,ORG_A,COPPER INSTRUMENTATION CABLE 2 PAIR 1.5 SQMM BS 5308 500V,COPPER INSTRUMENTATION CABLE 2 PAIR 1.5 SQMM BS 5308 500V
A029,ORG_A,COPPER FLEXIBLE CABLE 3 CORE 2.5 SQMM IEC 60227 300/500V,COPPER FLEXIBLE CABLE 3 CORE 2.5 SQMM IEC 60227 300/500V
