material_id,organization_id,description,normalized_description
B001,ORG_B,STAINLESS STEEL SEAMLESS PIPE 50.8 MM SCHEDULE 40 ASTM A312 GRADE TP304,STAINLESS STEEL SEAMLESS PIPE 2 IN SCHEDULE 40 ASTM A312 GRADE TP304
B002,ORG_B,STAINLESS STEEL SEAMLESS PIPE 3 IN SCHEDULE 80 ASTM A312 GRADE TP316,STAINLESS STEEL SEAMLESS PIPE 3 IN SCHEDULE 80 ASTM A312 GRADE TP316
B003,ORG_B,CARBON STEEL WELDED PIPE 4 IN SCHEDULE 40 ASTM A106 GRADE GRADE B,CARBON STEEL WELDED PIPE 4 IN SCHEDULE 40 ASTM A106 GRADE GRADE B
B004,ORG_B,CARBON STEEL SEAMLESS PIPE 1 IN SCHEDULE 80 ASTM A53 GRADE GRADE B,CARBON STEEL SEAMLESS PIPE 1 IN SCHEDULE 80 ASTM A53 GRADE GRADE B
B005,ORG_B,STAINLESS STEEL SEAMLESS PIPE 6 IN SCHEDULE 40 ASTM A312 GRADE TP316L,STAINLESS STEEL SEAMLESS PIPE 6 IN SCHEDULE 40 ASTM A312 GRADE TP316L
B006,ORG_B,CARBON STEEL SEAMLESS PIPE 8 IN SCHEDULE 80 ASTM A106 GRADE GRADE B,CARBON STEEL SEAMLESS PIPE 8 IN SCHEDULE 80 ASTM A106 GRADE GRADE B
B007,ORG_B,ALLOY STEEL SEAMLESS PIPE 50.8MM SCHEDULE 160 ASTM A335 GRADE P11,ALLOY STEEL SEAMLESS PIPE 2 IN SCHEDULE 160 ASTM A335 GRADE P11
B008,ORG_B,STAINLESS STEEL WELDED PIPE 50.8 MM SCHEDULE 10S ASTM A312 GRADE TP304L,STAINLESS STEEL WELDED PIPE 2 IN SCHEDULE 10S ASTM A312 GRADE TP304L
B009,ORG_B,BRASS BALL VALVE 50.8MM ANSI B16.5 GRADE C37700,BRASS BALL VALVE 2 IN ANSI B16.5 GRADE C37700
B010,ORG_B,STAINLESS STEEL GATE VALVE 3 IN ANSI B16.34 GRADE CF8M,STAINLESS STEEL GATE VALVE 3 IN ANSI B16.34 GRADE CF8M
B011,ORG_B,CARBON STEEL GLOBE VALVE 2 IN API 600 GRADE WCB,CARBON STEEL GLOBE VALVE 2 IN API 600 GRADE WCB
B012,ORG_B,CAST IRON BUTTERFLY VALVE 6 IN API 609 GRADE GG25,CAST IRON BUTTERFLY VALVE 6 IN API 609 GRADE GG25
B013,ORG_B,STAINLESS STEEL CHECK VALVE 4 IN API 594 GRADE CF8,STAINLESS STEEL CHECK VALVE 4 IN API 594 GRADE CF8
B014,ORG_B,BRONZE GATE VALVE 25.4MM MSS SP-80 GRADE B62,BRONZE GATE VALVE 1 IN MSS SP-80 GRADE B62
B015,ORG_B,CARBON STEEL BALL VALVE 2 IN API 6D GRADE LF2,CARBON STEEL BALL VALVE 2 IN API 6D GRADE LF2
B016,ORG_B,CHROME STEEL BALL BEARING 50MM ISO 15 GRADE 6210-2RS,CHROME STEEL BALL BEARING 50MM ISO 15 GRADE 6210-2RS
B017,ORG_B,CHROME STEEL ROLLER BEARING 80MM DIN 5412 GRADE NU2211,CHROME STEEL ROLLER BEARING 80MM DIN 5412 GRADE NU2211
B018,ORG_B,CHROME STEEL TAPERED ROLLER BEARING 45MM ISO 355 GRADE 30209,CHROME STEEL TAPERED ROLLER BEARING 45MM ISO 355 GRADE 30209
B019,ORG_B,STAINLESS STEEL BALL BEARING 25MM ISO 15 GRADE S6205-2RS,STAINLESS STEEL BALL BEARING 25MM ISO 15 GRADE S6205-2RS
B020,ORG_B,CHROME STEEL NEEDLE ROLLER BEARING 20MM ISO 3245 GRADE HK2016,CHROME STEEL NEEDLE ROLLER BEARING 20MM ISO 3245 GRADE HK2016
B021,ORG_B,STAINLESS STEEL HEX BOLT M12 DIN 933 GRADE A2-70,STAINLESS STEEL HEX BOLT M12 DIN 933 GRADE A2-70
B022,ORG_B,CARBON STEEL HEX NUT M16 DIN 934 GRADE CLASS 8,CARBON STEEL HEX NUT M16 DIN 934 GRADE CLASS 8
B023,ORG_B,STAINLESS STEEL WASHER M12 DIN 125 GRADE A4,STAINLESS STEEL WASHER M12 DIN 125 GRADE A4
B024,ORG_B,CARBON STEEL SOCKET HEAD CAP SCREW M8 DIN 912 GRADE GRADE 12.9,CARBON STEEL SOCKET HEAD CAP SCREW M8 DIN 912 GRADE GRADE 12.9
B025,ORG_B,BRASS HEX BOLT M10 DIN 931 GRADE C3604,BRASS HEX BOLT M10 DIN 931 GRADE C3604
B026,ORG_B,COPPER XLPE CABLE 4 CORE 16 SQMM IEC 60502 GRADE 1.1KV,COPPER XLPE CABLE 4 CORE 16 SQMM IEC 60502 GRADE 1.1KV
B027,ORG_B,ALUMINUM PVC CABLE 3 CORE 70 SQMM IS 1554 GRADE 1.1KV,ALUMINUM PVC CABLE 3 CORE 70 SQMM IS 1554 GRADE 1.1KV
B028,ORG_B,COPPER INSTRUMENTATION CABLE 2 PAIR 1.5 SQMM BS 5308 GRADE 500V,COPPER INSTRUMENTATION CABLE 2 PAIR 1.5 SQMM BS 5308 GRADE 500V
B029,ORG_B,COPPER FLEXIBLE CABLE 3 CORE 2.5 SQMM IEC 60227 GRADE 300/500V,COPPER FLEXIBLE CABLE 3 CORE 2.5 SQMM IEC 60227 GRADE 300/500V
B030,ORG_B,ALUMINUM XLPE CABLE 4 CORE 120 SQMM IEC 60502-2 GRADE 11KV,ALUMINUM XLPE CABLE 4 CORE 120 SQMM IEC 60502-2 GRADE 11KV
B031,ORG_B,STAINLESS STEEL SEAMLESS PIPE 76.2 MM SCHEDULE 40 ASTM A312 GRADE TP304,STAINLESS STEEL SEAMLESS PIPE 3 IN SCHEDULE 40 ASTM A312 GRADE TP304
B032,ORG_B,STAINLESS STEEL SEAMLESS PIPE 50.8MM SCHEDULE 80 ASTM A312 GRADE TP316,STAINLESS STEEL SEAMLESS PIPE 2 IN SCHEDULE 80 ASTM A312 GRADE TP316
B033,ORG_B,CARBON STEEL WELDED PIPE 50.8MM SCHEDULE 40 ASTM A106 GRADE GRADE B,CARBON STEEL WELDED PIPE 2 IN SCHEDULE 40 ASTM A106 GRADE GRADE B
B034,ORG_B,CARBON STEEL SEAMLESS PIPE 2 IN SCHEDULE 80 ASTM A53 GRADE GRADE B,CARBON STEEL SEAMLESS PIPE 2 IN SCHEDULE 80 ASTM A53 GRADE GRADE B
B035,ORG_B,STAINLESS STEEL SEAMLESS PIPE 2 IN SCHEDULE 40 ASTM A312 GRADE TP316L,STAINLESS STEEL SEAMLESS PIPE 2 IN SCHEDULE 40 ASTM A312 GRADE TP316L
B036,ORG_B,CARBON STEEL SEAMLESS PIPE 50.8MM SCHEDULE 80 ASTM A106 GRADE GRADE B,CARBON STEEL SEAMLESS PIPE 2 IN SCHEDULE 80 ASTM A106 GRADE GRADE B
B037,ORG_B,ALLOY STEEL SEAMLESS PIPE 76.2 MM SCHEDULE 160 ASTM A335 GRADE P11,ALLOY STEEL SEAMLESS PIPE 3 IN SCHEDULE 160 ASTM A335 GRADE P11
B038,ORG_B,STAINLESS STEEL WELDED PIPE 76.2MM SCHEDULE 10S ASTM A312 GRADE TP304L,STAINLESS STEEL WELDED PIPE 3 IN SCHEDULE 10S ASTM A312 GRADE TP304L
B039,ORG_B,BRASS BALL VALVE 3 IN ANSI B16.5 GRADE C37700,BRASS BALL VALVE 3 IN ANSI B16.5 GRADE C37700
B040,ORG_B,STAINLESS STEEL GATE VALVE 50.8 MM ANSI B16.34 GRADE CF8M,STAINLESS STEEL GATE VALVE 2 IN ANSI B16.34 GRADE CF8M
B041,ORG_B,CARBON STEEL SEAMLESS PIPE 8 IN SCHEDULE 80 ASTM A106 GRADE TP304,CARBON STEEL SEAMLESS PIPE 8 IN SCHEDULE 80 ASTM A106 GRADE TP304
B042,ORG_B,ALLOY STEEL SEAMLESS PIPE 50.8 MM SCHEDULE 160 ASTM A335 GRADE TP304,ALLOY STEEL SEAMLESS PIPE 2 IN SCHEDULE 160 ASTM A335 GRADE TP304
B043,ORG_B,STAINLESS STEEL WELDED PIPE 50.8 MM SCHEDULE 10S ASTM A312 GRADE TP316,STAINLESS STEEL WELDED PIPE 2 IN SCHEDULE 10S ASTM A312 GRADE TP316
B044,ORG_B,BRASS BALL VALVE 50.8 MM ANSI B16.5 GRADE TP304,BRASS BALL VALVE 2 IN ANSI B16.5 GRADE TP304
B045,ORG_B,STAINLESS STEEL GATE VALVE 76.2 MM ANSI B16.34 GRADE CF8,STAINLESS STEEL GATE VALVE 3 IN ANSI B16.34 GRADE CF8
B046,ORG_B,CARBON STEEL GLOBE VALVE 2 IN API 600 GRADE TP304,CARBON STEEL GLOBE VALVE 2 IN API 600 GRADE TP304
B047,ORG_B,CAST IRON BUTTERFLY VALVE 6 IN API 609 GRADE TP304,CAST IRON BUTTERFLY VALVE 6 IN API 609 GRADE TP304
B048,ORG_B,STAINLESS STEEL CHECK VALVE 4 IN API 594 GRADE CF8M,STAINLESS STEEL CHECK VALVE 4 IN API 594 GRADE CF8M
B049,ORG_B,BRONZE GATE VALVE 1 IN MSS SP-80 GRADE TP304,BRONZE GATE VALVE 1 IN MSS SP-80 GRADE TP304
B050,ORG_B,CARBON STEEL BALL VALVE 50.8MM API 6D GRADE TP304,CARBON STEEL BALL VALVE 2 IN API 6D GRADE TP304
