material_id,organization_id,description
A001,ORG_A,"S.S. SMLS. PIPE 2"" SCHEDULE 40 ASTM A312 TP304;"
A002,ORG_A,"S.S. SMLS PIPE 3"" SCH80 ASTM A312 TP316"
A003,ORG_A,"CS WLD PIPE 4"" SCH40 ASTM A106 GRADE B"
A004,ORG_A,"SEAMLESS PIPE SCH80 1"" C.S. GRADE B ASTM A53"
A005,ORG_A,"TP316L SMLS PIPE 6"" SCHEDULE 40 ASTM A312 S.S."
A006,ORG_A,"CARBON STEEL SMLS PIPE 8"" SCH80 ASTM A106 GRADE B"
A007,ORG_A,"ALLOY STEEL SMLS PIPE 2"" SCHEDULE 160 ASTM A335 P11."
A008,ORG_A,"SS WLD. PIPE 1/2"" SCH10S ASTM A312 TP304L"
A009,ORG_A,"C.S. WLD PIPE 1.5"" SCH40 ASTM A53 GRADE B."
A010,ORG_A,"SS SMLS. PIPE 4"" SCH80 ASTM A312 TP321"
A011,ORG_A,"C37700 BRASS ANSI B16.5 1/2"" BALL VALVE."
A012,ORG_A,"STAINLESS STEEL GATE VALVE 3"" ANSI B16.34 CF8M"
A013,ORG_A,"WCB GLOBE VALVE 2"" CS API 600"
A014,ORG_A,"GG25 CAST IRON 6"" API 609 BUTTERFLY VALVE"
A015,ORG_A,"S.S. CHECK VALVE 4"" API 594 CF8"
A016,ORG_A,"BRONZE GATE VALVE 1"" MSS SP-80 B62"
A017,ORG_A,"C.S. BALL VALVE 2"" API 6D LF2"
A018,ORG_A,"S.S. GLOBE VALVE 1.5"" API 603 CF3M"
A019,ORG_A,"ALLOY STEEL BUTTERFLY VALVE 8"" API 609 WC6"
A020,ORG_A,"C36000 GATE VALVE 2"" MSS SP-80 BRASS"
A021,ORG_A,CHROME STEEL B. BEARING 50MM ISO 15 6210-2RS.
A022,ORG_A,CHROME ST. DIN 5412 80MM ROLLER BEARING NU2211
A023,ORG_A,CHROME ST. TAPERED ROLLER BEARING 45MM ISO 355 30209
A024,ORG_A,SS S6205-2RS BALL BEARING ISO 15 25MM
A025,ORG_A,CHROME ST. NEEDLE ROLLER BEARING 20MM ISO 3245 HK2016
A026,ORG_A,35MM ISO 15 6007-ZZ CHROME ST. BALL BEARING
A027,ORG_A,SS 60MM ROLLER BEARING ISO 15 S-NU309.
A028,ORG_A,CHROME STEEL BALL BEARING 40MM DIN 711 51108.
A029,ORG_A,S.S. HEX BOLT M12 DIN 933 A2-70.
A030,ORG_A,C.S. HEX NUT M16 DIN 934 CLASS 8
A031,ORG_A,STAINLESS STEEL WASHER M12 DIN 125 A4.
A032,ORG_A,CS SOCKET HEAD CAP SCREW M8 DIN 912 GRADE 12.9.
A033,ORG_A,BRASS HEX BOLT M10 DIN 931 C3604.
A034,ORG_A,SS HEX NUT M8 DIN 934 A2-80
A035,ORG_A,CARBON STEEL STUD BOLT M24 DIN 976 GRADE 8.8
A036,ORG_A,ALLOY STEEL HEX BOLT M20 ISO 4014 GRADE 10.9
A037,ORG_A,COPPER XLPE CABLE 4 CORE 16 SQMM IEC 60502 1.1KV
A038,ORG_A,ALUMINUM PVC CABLE 3 CORE 70 SQMM IS 1554 1.1KV
A039,ORG_A,COPPER INSTRUMENTATION CABLE 2 PAIR 1.5 SQMM BS 5308 500V
A040,ORG_A,COPPER FLEXIBLE CABLE 3 CORE 2.5 SQMM IEC 60227 300/500V
A041,ORG_A,XLPE CABLE IEC 60502-2 ALUMINUM 11KV 4 CORE 120 SQMM.
A042,ORG_A,1.1KV 3 CORE 6 SQMM IEC 60502 ARMORED CABLE COPPER;
A043,ORG_A,"CS WELD NECK FLANGE 3"" SCH150# ANSI B16.5 A105"
A044,ORG_A,"2"" SCHEDULE 300# A182 F316 S.S. ANSI B16.5 SLIP ON FLANGE."
A045,ORG_A,"CS BLIND FLANGE 4"" SCHEDULE 150# ANSI B16.5 A105"
A046,ORG_A,"ANSI B16.5 WELD NECK FLANGE SCH600# A182 F304 6"" S.S.."
A047,ORG_A,"A182 F11 ANSI B16.5 SCH300# ALLOY STEEL SLIP ON FLANGE 4"""
A048,ORG_A,"90 DEG ELBOW 2"" C.S. WPB SCHSCH40 ASTM A234"
A049,ORG_A,"SS 45 DEG ELBOW 3"" SCHEDULE SCH80S ASTM A403 WP316"
A050,ORG_A,"C.S. EQUAL TEE 4"" SCHEDULE SCH40 ASTM A234 WPB"
