material_id,organization_id,description
B001,ORG_B,STAINLESS STEEL SEAMLESS PIPE 2 IN SCHEDULE 40 ASTM A312 GRADE TP304
B002,ORG_B,STAINLESS STEEL SEAMLESS PIPE 3 IN SCHEDULE 80 ASTM A312 GRADE TP316
B003,ORG_B,CARBON STEEL WELDED PIPE 101.6 MM SCHEDULE 40 ASTM A106 GRADE GRADE B
B004,ORG_B,CARBON STEEL SEAMLESS PIPE 1 IN SCHEDULE 80 ASTM A53 GRADE GRADE B
B005,ORG_B,STAINLESS STEEL SEAMLESS PIPE 6 IN SCHEDULE 40 ASTM A312 GRADE TP316L
B006,ORG_B,CARBON STEEL SEAMLESS PIPE 203.2 MM SCHEDULE 80 ASTM A106 GRADE GRADE B
B007,ORG_B,ALLOY STEEL SEAMLESS PIPE 50.8 MM SCHEDULE 160 ASTM A335 GRADE P11
B008,ORG_B,STAINLESS STEEL WELDED PIPE 1/2 IN SCHEDULE 10S ASTM A312 GRADE TP304L
B009,ORG_B,CARBON STEEL WELDED PIPE 38.1 MM SCHEDULE 40 ASTM A53 GRADE GRADE B
B010,ORG_B,STAINLESS STEEL SEAMLESS PIPE 4 IN SCHEDULE 80 ASTM A312 GRADE TP321
B011,ORG_B,BRASS BALL VALVE 1/2 IN ANSI B16.5 GRADE C37700
B012,ORG_B,STAINLESS STEEL GATE VALVE 3 IN ANSI B16.34 GRADE CF8M
B013,ORG_B,CARBON STEEL GLOBE VALVE 2 IN API 600 GRADE WCB
B014,ORG_B,CAST IRON BUTTERFLY VALVE 6 IN API 609 GRADE GG25
B015,ORG_B,STAINLESS STEEL CHECK VALVE 4 IN API 594 GRADE CF8
B016,ORG_B,BRONZE GATE VALVE 1 IN MSS SP-80 GRADE B62
B017,ORG_B,CARBON STEEL BALL VALVE 2 IN API 6D GRADE LF2
B018,ORG_B,STAINLESS STEEL GLOBE VALVE 1.5 IN API 603 GRADE CF3M
B019,ORG_B,ALLOY STEEL BUTTERFLY VALVE 203.2 MM API 609 GRADE WC6
B020,ORG_B,BRASS GATE VALVE 2 IN MSS SP-80 GRADE C36000
B021,ORG_B,CHROME STEEL BALL BEARING 50MM ISO 15 GRADE 6210-2RS
B022,ORG_B,CHROME STEEL ROLLER BEARING 80MM DIN 5412 GRADE NU2211
B023,ORG_B,CHROME STEEL TAPERED ROLLER BEARING 45MM ISO 355 GRADE 30209
